month,attrition_count,attrition_rate,headcount
2022-01,7,0.0052,1500
2022-02,37,0.0249,1493
2022-03,45,0.0305,1456
2022-04,53,0.0354,1411
2022-05,47,0.0316,1358
2022-06,39,0.0266,1311
2022-07,9,0.0062,1272
2022-08,15,0.0102,1263
2022-09,2,0.0019,1248
2022-10,0,-0.0074,1246
2022-11,3,0.0025,1246
2022-12,17,0.0116,1243
2023-01,23,0.0157,1226
2023-02,43,0.0292,1203
2023-03,47,0.0317,1160
2023-04,66,0.0441,1113
2023-05,49,0.0331,1047
2023-06,45,0.0301,998
2023-07,28,0.0188,953
2023-08,9,0.0066,925
2023-09,0,-0.0058,916
2023-10,7,0.0049,916
2023-11,5,0.0035,909
2023-12,30,0.0207,904
2024-01,42,0.0281,874
2024-02,57,0.0385,832
2024-03,65,0.044,775
2024-04,70,0.0473,710
2024-05,63,0.0421,640
2024-06,57,0.0386,577
2024-07,34,0.0228,520
2024-08,4,0.0033,486
2024-09,18,0.0122,482
2024-10,15,0.0102,464
2024-11,4,0.0031,449
2024-12,30,0.0201,445
