EmployeeID,Age,Department,JobRole,EducationField,Education,Gender,MaritalStatus,MonthlyIncome,HourlyRate,DailyRate,MonthlyRate,PercentSalaryHike,StockOptionLevel,NumCompaniesWorked,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TrainingTimesLastYear,EnvironmentSatisfaction,JobSatisfaction,RelationshipSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,BusinessTravel,DistanceFromHome,OverTime,Over18,StandardHours,EmployeeCount,AttritionRisk,Attrition,AttritionProbability,BurnoutRisk,BurnoutLabel,TenureBand,HireDate,FeedbackText
EMP00001,23,Sales,Sales Rep,Psychology,3,Male,Married,12019,35,227,21795,23,1,2,20,3,3,3,3,0,4,2,4,4,4,3,Travel_Frequently,15,No,Y,80,1,0,No,0.406,0.2,Low,1-3yr,2020-12-28,No clear path for career advancement here.
EMP00002,27,Customer Success,CSM,Marketing,4,Male,Single,19814,52,419,10988,12,0,9,21,10,6,6,10,0,2,1,3,1,4,3,Non-Travel,21,No,Y,80,1,1,Yes,0.697,0.478,Low,7-15yr,2013-02-04,Considering leaving due to lack of recognition.
EMP00003,49,Operations,Supply Chain Analyst,Finance,4,Male,Married,12255,89,605,5892,19,0,9,3,3,3,3,3,3,3,3,3,2,3,3,Travel_Rarely,1,No,Y,80,1,0,No,0.297,0.282,Low,1-3yr,2020-03-16,Workload is manageable most of the time.
EMP00004,50,HR,HR Business Partner,Engineering,1,Female,Divorced,21093,41,470,25708,13,0,5,0,0,0,0,0,3,1,4,2,2,2,3,Non-Travel,12,Yes,Y,80,1,1,Yes,0.523,0.802,High,<1yr,2023-08-10,Feeling completely disengaged and undervalued.
EMP00005,47,Engineering,Senior Engineer,Computer Science,1,Female,Married,8782,42,991,26726,16,0,3,9,9,4,0,8,5,3,3,4,4,1,3,Travel_Rarely,26,Yes,Y,80,1,0,No,0.345,0.569,High,7-15yr,2014-08-07,The role has some good aspects and some challenges.
EMP00006,46,Engineering,Senior Engineer,Marketing,2,Female,Divorced,4234,35,1162,16008,14,1,0,14,3,3,3,3,3,1,3,1,2,1,3,Travel_Rarely,29,No,Y,80,1,0,No,0.434,0.467,Low,1-3yr,2020-07-27,Some processes are inefficient but improving.
EMP00007,33,Engineering,Data Scientist,Business,1,Male,Married,8205,92,1033,5249,11,0,0,28,16,12,4,6,3,2,4,1,1,4,4,Non-Travel,24,No,Y,80,1,0,No,0.349,0.277,Low,15+yr,2007-04-12,Compensation is competitive but benefits could improve.
EMP00008,26,Product,Product Manager,Marketing,2,Male,Single,4420,67,516,2111,19,3,4,4,4,4,1,4,0,1,4,3,2,3,3,Travel_Rarely,19,Yes,Y,80,1,1,Yes,0.618,0.615,High,3-7yr,2019-02-18,Compensation is below market rate for my skills.
EMP00009,55,HR,HR Coordinator,Business,5,Non-binary,Married,20152,79,537,19066,21,3,7,28,10,10,10,0,3,1,4,4,2,4,3,Travel_Rarely,27,No,Y,80,1,1,Yes,0.467,0.316,Low,7-15yr,2013-12-24,Feeling completely disengaged and undervalued.
EMP00010,58,Finance,CFO,Psychology,2,Male,Divorced,12596,81,550,19545,16,0,0,26,19,8,1,2,0,2,1,1,1,3,3,Travel_Rarely,23,No,Y,80,1,1,Yes,0.596,0.449,Low,15+yr,2004-10-29,Considering leaving due to lack of recognition.
EMP00011,36,Engineering,Software Engineer,Computer Science,1,Male,Single,22488,69,710,9400,18,0,1,24,10,4,4,10,4,4,3,4,1,4,3,Non-Travel,6,Yes,Y,80,1,0,No,0.447,0.63,High,7-15yr,2013-06-26,Compensation is competitive but benefits could improve.
EMP00012,57,Customer Success,CSM,Marketing,5,Male,Divorced,7355,37,724,4379,12,1,6,15,14,4,4,9,4,4,4,3,2,1,3,Travel_Rarely,26,Yes,Y,80,1,1,Yes,0.462,0.798,High,7-15yr,2009-09-25,Feeling completely disengaged and undervalued.
EMP00013,36,Operations,Operations Analyst,Other,1,Male,Divorced,22689,90,691,15180,17,1,7,15,13,6,3,4,5,2,3,3,3,2,4,Travel_Rarely,28,No,Y,80,1,0,No,0.256,0.288,Low,7-15yr,2010-12-04,Workload is manageable most of the time.
EMP00014,44,Engineering,Senior Engineer,Marketing,2,Male,Married,20922,37,208,23810,16,0,2,24,16,1,0,14,2,4,3,3,2,3,3,Travel_Frequently,13,No,Y,80,1,0,No,0.289,0.324,Low,15+yr,2007-06-18,"Management is okay, not exceptional."
EMP00015,27,Engineering,Senior Engineer,Other,3,Female,Single,20715,63,760,10352,12,1,7,0,0,0,0,0,3,1,1,4,1,4,4,Travel_Frequently,6,Yes,Y,80,1,1,Yes,0.853,0.731,High,<1yr,2023-04-11,Compensation is below market rate for my skills.
EMP00016,42,Engineering,DevOps Engineer,Computer Science,4,Male,Married,11261,89,639,19809,12,2,0,4,4,4,1,4,4,3,3,1,1,4,3,Travel_Rarely,13,Yes,Y,80,1,1,Yes,0.468,0.59,High,3-7yr,2019-09-17,"Work-life balance is terrible, always on-call."
EMP00017,44,Sales,VP Sales,Marketing,1,Female,Single,16765,86,991,22045,14,0,8,19,15,1,1,0,4,2,1,2,1,3,3,Non-Travel,15,No,Y,80,1,1,Yes,0.584,0.467,Low,7-15yr,2008-11-12,Feeling completely disengaged and undervalued.
EMP00018,37,Marketing,Marketing Analyst,Business,2,Male,Married,24942,75,1331,10469,14,1,1,4,4,4,4,4,5,1,4,1,3,3,3,Travel_Rarely,29,Yes,Y,80,1,1,Yes,0.484,0.389,Low,3-7yr,2019-01-30,Compensation is below market rate for my skills.
EMP00019,36,Sales,VP Sales,Marketing,5,Male,Married,8944,51,1468,11748,13,3,1,28,9,9,0,4,1,2,4,4,1,1,3,Travel_Rarely,16,No,Y,80,1,0,No,0.388,0.468,Low,7-15yr,2014-06-28,Compensation is competitive but benefits could improve.
EMP00020,46,Sales,Senior Sales Rep,Engineering,1,Female,Married,10126,69,1478,25424,18,0,3,33,15,11,11,12,1,3,3,1,4,3,3,Non-Travel,8,No,Y,80,1,0,No,0.177,0.051,Low,7-15yr,2008-05-11,Work is interesting but growth paths are unclear.
EMP00021,57,HR,HR Director,Psychology,1,Male,Married,19864,74,232,22976,24,0,9,17,2,2,1,2,5,1,1,2,4,4,3,Non-Travel,13,No,Y,80,1,0,No,0.344,0.162,Low,1-3yr,2021-01-24,Considering leaving due to lack of recognition.
EMP00022,32,Engineering,Senior Engineer,Finance,4,Female,Married,8263,84,1246,25914,17,3,2,1,1,1,1,1,0,1,1,1,3,1,3,Travel_Rarely,13,No,Y,80,1,0,No,0.353,0.378,Low,<1yr,2022-01-29,Feeling completely disengaged and undervalued.
EMP00023,36,Sales,Sales Manager,Business,2,Female,Married,23478,80,1044,12107,12,3,3,15,15,2,2,6,2,3,2,2,1,1,3,Travel_Frequently,28,No,Y,80,1,1,Yes,0.548,0.669,High,7-15yr,2008-03-20,Feeling completely disengaged and undervalued.
EMP00024,25,Sales,VP Sales,Engineering,3,Male,Married,18300,34,765,14942,13,1,5,28,21,5,5,9,5,3,2,4,1,2,4,Travel_Frequently,29,Yes,Y,80,1,1,Yes,0.899,0.908,High,15+yr,2002-02-18,"Work-life balance is terrible, always on-call."
EMP00025,42,Sales,Account Executive,Other,5,Non-binary,Married,5793,42,248,21491,20,3,6,32,24,4,4,7,1,4,4,3,4,2,3,Non-Travel,20,No,Y,80,1,0,No,0.153,0.266,Low,15+yr,1999-02-21,Strong company culture and amazing colleagues.
EMP00026,34,Operations,Operations Analyst,Psychology,2,Male,Married,5892,57,661,18686,19,2,4,15,15,10,8,9,2,1,4,2,4,2,3,Travel_Rarely,20,No,Y,80,1,0,No,0.284,0.29,Low,7-15yr,2008-04-07,Learning opportunities are abundant here.
EMP00027,43,Engineering,Senior Engineer,Computer Science,5,Female,Married,4198,91,789,6533,23,0,1,34,1,1,1,1,4,3,2,4,2,3,3,Non-Travel,12,Yes,Y,80,1,1,Yes,0.779,0.797,High,<1yr,2022-11-21,The workload is unsustainable and unrealistic.
EMP00028,40,Marketing,Marketing Director,Business,1,Male,Married,21756,53,535,21157,15,2,2,16,16,13,11,2,5,3,1,3,3,1,3,Travel_Rarely,19,Yes,Y,80,1,1,Yes,0.667,0.672,High,15+yr,2007-06-22,The workload is unsustainable and unrealistic.
